name,BalabanJ_rdkit,Chi0n_rdkit,LabuteASA_rdkit,MinPartialCharge_rdkit,MolLogP_rdkit,TPSA_rdkit,SlogP_VSA1_rdkit,SlogP_VSA2_rdkit,SMR_VSA1_rdkit,SMR_VSA2_rdkit,PEOE_VSA1_rdkit,PEOE_VSA2_rdkit,MolWt_rdkit
Propionyl#K,-0.0241567218321824,1.0287497200650413,0.8192454245763029,0.21107900802943536,0.9489497808535071,-0.03345814234060952,0.7145541302791438,-0.13439292726365965,-0.1486094427359978,-0.2748626030391376,0.028444617170121228,0.38752632100223733,0.6442308253613701
Oxidation#M,0.3781753398682327,-0.36928277417992084,-0.31217266969088664,0.21116140280709425,-0.3891691154896222,-0.49553443040994655,-0.617703480457529,0.277020942994614,-0.2465031502014299,-0.2748626030391376,-1.28203112314323,0.22535323801532103,-0.12463000367638515
Carbamidomethyl#C,0.16559529676690096,-0.3294245663441577,0.012261882186921938,0.2159045970533613,-1.182464950038987,0.5039023954889844,0.8190138131596545,0.40762216259505774,-0.1486094427359978,-0.2748626030391376,0.1311964266944369,0.38752632100223733,0.1451978018490399
Methyl#C,0.022152831244595276,-0.9440196784242932,-0.8113177204737586,0.2159041115502789,0.46801147723195846,-1.1511987892913746,-0.617703480457529,-0.18282769951775016,-0.9500507187572786,-0.2748626030391376,-1.28203112314323,-0.9401606767676102,-0.7478971541269163
Methyl#E,0.4695228053889457,-0.11163526853226872,-0.19456343864788328,0.21111468553553622,-0.12295858820765146,-0.14100707056954903,-0.617703480457529,-0.06587101983685513,0.6431911720644012,-0.2748626030391376,-0.1144947683093235,0.38752632100223733,-0.20884351294761055
Methyl#N,0.7632044903190477,-0.4287246671289895,-0.5023023478736989,0.21342549793024052,-1.3012934844270398,-0.03345814234060952,0.7145541302791438,-0.07944623617475187,-0.1486094427359978,-0.2748626030391376,0.028444617170121228,0.38752632100223733,-0.520435573009321
Methyl#K,-0.2785124178648114,0.19636531017301714,-0.057541826832131764,0.2110790064950696,0.5065153833989612,-0.6891225012220381,0.7145541302791438,-0.00978697265011014,-0.9500507187572786,-0.2748626030391376,0.028444617170121228,-0.9401606767676102,-0.22835563981843907
Dimethyl#N,1.125904215361749,0.059369773263226434,-0.16101635236603087,0.2134256585207556,-0.8078089641892776,-0.3710849563164595,-0.617703480457529,1.225902239798082,-0.1486094427359978,-0.2748626030391376,-0.07430719235419488,0.38752632100223733,-0.22926897341664831
Dimethyl#K,-0.10973413668070847,0.684459750565233,0.2837441686755359,0.21107900649641603,0.9999999036367233,-1.0267493151978875,-0.617703480457529,1.2955615033227248,-0.9500507187572786,-0.2748626030391376,-0.07430719235419488,-0.9401606767676102,0.06281095977423354
Dimethyl#R,0.3388801435493028,1.0930336707096804,0.8150264230648513,0.21108045262799913,-0.24846401718571115,0.35141337939295336,0.7145541302791438,1.946680337268726,-0.9500507187572786,3.573213839508789,1.236168547959155,0.5577598179400217,0.6443138556884799
Dimethyl_Sym#R,0.41992674764083804,1.0930336707096804,0.8150264230648505,0.21108045262799913,-0.6683584875469866,0.24770548431504663,2.0468117410158166,1.411334369111157,-0.9500507187572786,-0.2748626030391376,1.3389203574834716,0.44231913236713055,0.6443138556884799
Crotonyl#K,0.1840226685131782,1.2593925502333632,1.1138369380258786,0.21107900802943536,1.1884815716527244,-0.03345814234060952,0.7145541302791438,-0.13439292726365965,-0.1486094427359978,-0.2748626030391376,0.028444617170121228,0.38752632100223733,0.8935501400906489
Succinyl#K,0.23281532010841124,1.5762860534063263,1.614501449937147,-0.03004222983109248,0.16272020623741348,1.3992472229949073,0.7145541302791438,1.0757114820866847,1.5064245105837177,-0.2748626030391376,1.2870954243776347,1.715213318772085,1.5577512418063646
Acetyl#S,0.3781753398682327,-0.47600386533077654,-0.5249503817603833,0.23167850104959434,-0.6855194045277874,-0.14100707056954903,-0.617703480457529,-0.12081771092576292,0.6431911720644012,-0.2748626030391376,-0.1144947683093235,0.38752632100223733,-0.5000101125402832
Acetyl#K,-0.10727338922450799,0.6643811232665334,0.48885848146380256,0.21107900802943536,0.38638896453337035,-0.03345814234060952,0.7145541302791438,-0.13439292726365965,-0.1486094427359978,-0.2748626030391376,0.028444617170121228,0.38752632100223733,0.35306422576869695
Acetyl#C,0.3781753398682327,-0.47600386533077654,-0.2649174121778247,0.21593881095939085,0.3478850583663667,-0.49553443040994655,-0.617703480457529,-0.3074336541313004,-0.1486094427359978,-0.2748626030391376,-1.28203112314323,0.38752632100223733,-0.1664772885397796
Acetyl#T,1.2606181775221939,-0.027571737350566124,-0.19456343864788328,0.23346972016691572,-0.1252659383899435,-0.14100707056954903,-0.617703480457529,-0.1757644020146707,0.6431911720644012,-0.2748626030391376,-0.1144947683093235,0.38752632100223733,-0.20884351294761055
Trimethyl#R,0.7417359150118213,1.5811281111018962,1.1563124185725175,0.21108045262799913,-0.1748739673092246,-0.08992132966080332,0.7145541302791438,2.7166828450839913,-0.9500507187572786,-0.2748626030391376,1.236168547959156,0.44231913236713055,0.9354804552811531
Trimethyl#K,0.22188271484504912,1.1997547618605364,0.6250301641832051,0.21107902140638396,1.2085266763613887,-1.1511987892913746,-0.617703480457529,2.020017371258295,-0.20067995926673424,-0.2748626030391376,-0.17705900187851142,-0.9401606767676102,0.3749012017986034
Phospho#S,0.853005963039106,-0.5576055780400393,-0.30451712318292196,0.22498495026119197,-1.3399415999804367,1.4130749423386286,-0.617703480457529,0.29627014125730317,2.205144312063459,-0.2748626030391376,1.1302134366434295,0.31254006518434946,0.2875740552607569
